epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,55.508,1.62194,3.26135,1.51898,0.01639,0.43241,0.09665,0.03974,1.22691,3.47489,1.2521,0.000643741,0.000643741,0.000643741
27,57.724,1.37212,2.95035,1.32045,0.02747,0.64995,0.17154,0.0909,1.1628,3.16499,1.22409,0.000660023,0.000660023,0.000660023
28,59.884,1.411,3.10763,1.40663,0.02747,0.64995,0.17154,0.0909,1.1628,3.16499,1.22409,0.000675645,0.000675645,0.000675645
29,62.044,1.3881,2.99681,1.39019,0.02747,0.64995,0.17154,0.0909,1.1628,3.16499,1.22409,0.000690606,0.000690606,0.000690606
30,64.251,1.43562,3.13522,1.37407,0.02747,0.64995,0.17154,0.0909,1.1628,3.16499,1.22409,0.000704908,0.000704908,0.000704908
31,66.531,1.26845,2.98076,1.29227,0.02747,0.64995,0.17154,0.0909,1.1628,3.16499,1.22409,0.00071855,0.00071855,0.00071855
32,68.996,1.36036,2.94474,1.3679,0.02747,0.64995,0.17154,0.0909,1.1628,3.16499,1.22409,0.000731532,0.000731532,0.000731532
33,71.747,1.30647,2.93841,1.32571,0.02747,0.64995,0.17154,0.0909,1.1628,3.16499,1.22409,0.000743854,0.000743854,0.000743854
34,74.8621,1.42179,3.04283,1.37111,0.02747,0.64995,0.17154,0.0909,1.1628,3.16499,1.22409,0.000748036,0.000748036,0.000748036
35,77.7099,1.63232,3.06411,1.50487,0.02747,0.64995,0.17154,0.0909,1.1628,3.16499,1.22409,0.000737037,0.000737037,0.000737037
36,80.8722,1.42894,2.8616,1.42073,0.02747,0.64995,0.17154,0.0909,1.1628,3.16499,1.22409,0.000726038,0.000726038,0.000726038
37,84.5887,1.35936,3.11937,1.35507,0.30563,0.39396,0.23837,0.14681,1.11263,2.39229,1.17041,0.00071504,0.00071504,0.00071504
38,87.1984,1.46059,2.82646,1.45381,0.30563,0.39396,0.23837,0.14681,1.11263,2.39229,1.17041,0.000704041,0.000704041,0.000704041
39,89.6409,1.45385,2.78153,1.39652,0.30563,0.39396,0.23837,0.14681,1.11263,2.39229,1.17041,0.000693042,0.000693042,0.000693042
40,92.0589,1.57613,3.01105,1.5037,0.30563,0.39396,0.23837,0.14681,1.11263,2.39229,1.17041,0.000682043,0.000682043,0.000682043
41,94.4799,1.43556,2.87209,1.3102,0.30563,0.39396,0.23837,0.14681,1.11263,2.39229,1.17041,0.000671044,0.000671044,0.000671044
42,97.2269,1.29719,2.74797,1.25809,0.30563,0.39396,0.23837,0.14681,1.11263,2.39229,1.17041,0.000660045,0.000660045,0.000660045
43,99.5949,1.45166,3.02699,1.3963,0.30563,0.39396,0.23837,0.14681,1.11263,2.39229,1.17041,0.000649046,0.000649046,0.000649046
44,101.85,1.41137,2.87093,1.33222,0.30563,0.39396,0.23837,0.14681,1.11263,2.39229,1.17041,0.000638047,0.000638047,0.000638047
45,104.369,1.33914,2.9251,1.35407,0.30563,0.39396,0.23837,0.14681,1.11263,2.39229,1.17041,0.000627048,0.000627048,0.000627048
46,106.881,1.28499,2.61631,1.29802,0.30563,0.39396,0.23837,0.14681,1.11263,2.39229,1.17041,0.000616049,0.000616049,0.000616049
47,109.343,1.34916,2.92635,1.37627,0.30563,0.39396,0.23837,0.14681,1.11263,2.39229,1.17041,0.000605051,0.000605051,0.000605051
48,112.23,1.26313,2.78142,1.24913,0.30779,0.38901,0.26987,0.19383,0.95207,2.51989,1.11663,0.000594052,0.000594052,0.000594052
49,115.21,1.1317,2.3482,1.26139,0.30779,0.38901,0.26987,0.19383,0.95207,2.51989,1.11663,0.000583053,0.000583053,0.000583053
50,117.808,1.38774,2.73631,1.40186,0.30779,0.38901,0.26987,0.19383,0.95207,2.51989,1.11663,0.000572054,0.000572054,0.000572054
51,120.264,1.50922,2.81331,1.40114,0.30779,0.38901,0.26987,0.19383,0.95207,2.51989,1.11663,0.000561055,0.000561055,0.000561055
52,122.771,1.30374,2.88062,1.30484,0.30779,0.38901,0.26987,0.19383,0.95207,2.51989,1.11663,0.000550056,0.000550056,0.000550056
53,125.118,1.23329,2.55125,1.30132,0.30779,0.38901,0.26987,0.19383,0.95207,2.51989,1.11663,0.000539057,0.000539057,0.000539057
54,127.541,1.57606,3.10071,1.47557,0.30779,0.38901,0.26987,0.19383,0.95207,2.51989,1.11663,0.000528058,0.000528058,0.000528058
55,130.31,1.14139,2.54882,1.23728,0.30779,0.38901,0.26987,0.19383,0.95207,2.51989,1.11663,0.000517059,0.000517059,0.000517059
56,132.765,1.32258,2.75987,1.33194,0.30779,0.38901,0.26987,0.19383,0.95207,2.51989,1.11663,0.00050606,0.00050606,0.00050606
57,135.428,1.47419,2.70352,1.55548,0.30779,0.38901,0.26987,0.19383,0.95207,2.51989,1.11663,0.000495062,0.000495062,0.000495062
58,137.821,1.57379,2.97736,1.39497,0.30779,0.38901,0.26987,0.19383,0.95207,2.51989,1.11663,0.000484063,0.000484063,0.000484063
59,140.616,1.31923,2.55725,1.25343,0.28977,0.39789,0.28898,0.21653,0.92988,4.46586,1.09302,0.000473064,0.000473064,0.000473064
60,143.449,1.22449,2.59184,1.24208,0.28977,0.39789,0.28898,0.21653,0.92988,4.46586,1.09302,0.000462065,0.000462065,0.000462065
61,146.48,1.27549,2.51381,1.3025,0.28977,0.39789,0.28898,0.21653,0.92988,4.46586,1.09302,0.000451066,0.000451066,0.000451066
62,149.239,1.28676,2.64768,1.30278,0.28977,0.39789,0.28898,0.21653,0.92988,4.46586,1.09302,0.000440067,0.000440067,0.000440067
63,151.722,1.54189,2.73605,1.39284,0.28977,0.39789,0.28898,0.21653,0.92988,4.46586,1.09302,0.000429068,0.000429068,0.000429068
64,154.263,1.29892,2.72501,1.27302,0.28977,0.39789,0.28898,0.21653,0.92988,4.46586,1.09302,0.000418069,0.000418069,0.000418069
65,156.729,1.06691,2.7551,1.23707,0.28977,0.39789,0.28898,0.21653,0.92988,4.46586,1.09302,0.00040707,0.00040707,0.00040707
66,159.503,1.15989,2.53852,1.25793,0.28977,0.39789,0.28898,0.21653,0.92988,4.46586,1.09302,0.000396071,0.000396071,0.000396071
67,162.102,1.27117,2.56436,1.27346,0.28977,0.39789,0.28898,0.21653,0.92988,4.46586,1.09302,0.000385073,0.000385073,0.000385073
68,164.648,1.1307,2.56202,1.22865,0.28977,0.39789,0.28898,0.21653,0.92988,4.46586,1.09302,0.000374074,0.000374074,0.000374074
69,167.229,1.48305,2.59961,1.38396,0.31352,0.51745,0.32062,0.24108,0.89543,3.9879,1.0692,0.000363075,0.000363075,0.000363075
70,169.76,1.35964,2.54084,1.30964,0.31352,0.51745,0.32062,0.24108,0.89543,3.9879,1.0692,0.000352076,0.000352076,0.000352076
71,172.457,1.1295,2.25622,1.22108,0.31352,0.51745,0.32062,0.24108,0.89543,3.9879,1.0692,0.000341077,0.000341077,0.000341077
72,175.16,1.1662,2.4013,1.25141,0.31352,0.51745,0.32062,0.24108,0.89543,3.9879,1.0692,0.000330078,0.000330078,0.000330078
73,177.674,0.99358,2.36933,1.14145,0.31352,0.51745,0.32062,0.24108,0.89543,3.9879,1.0692,0.000319079,0.000319079,0.000319079
74,180.746,1.18517,2.57549,1.22609,0.31352,0.51745,0.32062,0.24108,0.89543,3.9879,1.0692,0.00030808,0.00030808,0.00030808
75,183.594,1.30003,2.54702,1.2925,0.31352,0.51745,0.32062,0.24108,0.89543,3.9879,1.0692,0.000297081,0.000297081,0.000297081
76,186.777,1.04967,2.49649,1.22844,0.31352,0.51745,0.32062,0.24108,0.89543,3.9879,1.0692,0.000286083,0.000286083,0.000286083
77,189.623,1.23637,2.49477,1.27552,0.31352,0.51745,0.32062,0.24108,0.89543,3.9879,1.0692,0.000275084,0.000275084,0.000275084
78,192.687,1.28663,2.50002,1.27436,0.31352,0.51745,0.32062,0.24108,0.89543,3.9879,1.0692,0.000264085,0.000264085,0.000264085
79,195.241,1.58662,2.61707,1.35259,0.31352,0.51745,0.32062,0.24108,0.89543,3.9879,1.0692,0.000253086,0.000253086,0.000253086
80,197.872,1.20079,2.30552,1.25616,0.49658,0.49514,0.36931,0.26662,0.83591,3.65589,1.04654,0.000242087,0.000242087,0.000242087
81,200.55,1.33529,2.41253,1.24705,0.49658,0.49514,0.36931,0.26662,0.83591,3.65589,1.04654,0.000231088,0.000231088,0.000231088
82,203.367,1.25285,2.29062,1.31344,0.49658,0.49514,0.36931,0.26662,0.83591,3.65589,1.04654,0.000220089,0.000220089,0.000220089
83,206.368,1.17498,2.56573,1.22699,0.49658,0.49514,0.36931,0.26662,0.83591,3.65589,1.04654,0.00020909,0.00020909,0.00020909
84,209.035,1.1728,2.49169,1.25306,0.49658,0.49514,0.36931,0.26662,0.83591,3.65589,1.04654,0.000198091,0.000198091,0.000198091
85,211.613,1.12492,2.62878,1.21805,0.49658,0.49514,0.36931,0.26662,0.83591,3.65589,1.04654,0.000187092,0.000187092,0.000187092
86,214.202,1.09118,2.20894,1.21125,0.49658,0.49514,0.36931,0.26662,0.83591,3.65589,1.04654,0.000176094,0.000176094,0.000176094
87,217.108,1.05382,2.32862,1.16511,0.49658,0.49514,0.36931,0.26662,0.83591,3.65589,1.04654,0.000165095,0.000165095,0.000165095
88,219.774,1.15939,2.52197,1.2172,0.49658,0.49514,0.36931,0.26662,0.83591,3.65589,1.04654,0.000154096,0.000154096,0.000154096
89,222.299,1.22384,2.52868,1.21424,0.49658,0.49514,0.36931,0.26662,0.83591,3.65589,1.04654,0.000143097,0.000143097,0.000143097
90,224.843,1.19576,2.43087,1.2765,0.49658,0.49514,0.36931,0.26662,0.83591,3.65589,1.04654,0.000132098,0.000132098,0.000132098
91,227.332,1.16615,2.17811,1.14818,0.61707,0.31261,0.37578,0.27537,0.81678,3.07258,1.03293,0.000121099,0.000121099,0.000121099
92,229.737,1.08685,2.25704,1.13818,0.61707,0.31261,0.37578,0.27537,0.81678,3.07258,1.03293,0.0001101,0.0001101,0.0001101
93,232.253,1.45087,2.42098,1.33124,0.61707,0.31261,0.37578,0.27537,0.81678,3.07258,1.03293,9.91012e-05,9.91012e-05,9.91012e-05
94,234.56,1.15469,2.37418,1.21956,0.61707,0.31261,0.37578,0.27537,0.81678,3.07258,1.03293,8.81023e-05,8.81023e-05,8.81023e-05
95,236.908,1.32649,2.68273,1.26045,0.61707,0.31261,0.37578,0.27537,0.81678,3.07258,1.03293,7.71034e-05,7.71034e-05,7.71034e-05
96,239.257,1.17184,2.20727,1.22497,0.61707,0.31261,0.37578,0.27537,0.81678,3.07258,1.03293,6.61045e-05,6.61045e-05,6.61045e-05
97,242.005,1.14463,2.33939,1.19799,0.61707,0.31261,0.37578,0.27537,0.81678,3.07258,1.03293,5.51056e-05,5.51056e-05,5.51056e-05
98,244.679,1.10485,2.52036,1.22721,0.61707,0.31261,0.37578,0.27537,0.81678,3.07258,1.03293,4.41067e-05,4.41067e-05,4.41067e-05
99,247.079,1.4264,2.71626,1.50476,0.61707,0.31261,0.37578,0.27537,0.81678,3.07258,1.03293,3.31078e-05,3.31078e-05,3.31078e-05
100,249.37,1.14956,2.34964,1.17657,0.61707,0.31261,0.37578,0.27537,0.81678,3.07258,1.03293,2.21089e-05,2.21089e-05,2.21089e-05
